Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Format
India,Pakistan,drawn,,Bengaluru,"Dec 8-12, 2007",Test # 1852,Test 
India,Pakistan,drawn,,Eden Gardens,"Nov 30-Dec 4, 2007",Test # 1850,Test 
India,Pakistan,India,6 wickets,Delhi,"Nov 22-26, 2007",Test # 1849,Test 
Pakistan,India,Pakistan,341 runs,Karachi,"Jan 29-Feb 1, 2006",Test # 1783,Test 
Pakistan,India,drawn,,Faisalabad,"Jan 21-25, 2006",Test # 1782,Test 
Pakistan,India,drawn,,Lahore,"Jan 13-17, 2006",Test # 1781,Test 
India,Pakistan,Pakistan,168 runs,Bengaluru,"Mar 24-28, 2005",Test # 1743,Test 
India,Pakistan,India,195 runs,Eden Gardens,"Mar 16-20, 2005",Test # 1741,Test 
India,Pakistan,drawn,,Mohali,"Mar 8-12, 2005",Test # 1738,Test 
Pakistan,India,India,inns & 131 runs,Rawalpindi,"Apr 13-16, 2004",Test # 1697,Test 
Pakistan,India,Pakistan,9 wickets,Lahore,"Apr 5-8, 2004",Test # 1695,Test 
Pakistan,India,India,inns & 52 runs,Multan,"Mar 28-Apr 1, 2004",Test # 1693,Test 
India,Pakistan,Pakistan,46 runs,Eden Gardens,"Feb 16-20, 1999",Test # 1444,Test 
India,Pakistan,India,212 runs,Delhi,"Feb 4-7, 1999",Test # 1443,Test 
India,Pakistan,Pakistan,12 runs,Chennai,"Jan 28-31, 1999",Test # 1442,Test 
Pakistan,India,drawn,,Sialkot,"Dec 9-14, 1989",Test # 1132,Test 
Pakistan,India,drawn,,Lahore,"Dec 1-6, 1989",Test # 1130,Test 
Pakistan,India,drawn,,Faisalabad,"Nov 23-28, 1989",Test # 1128,Test 
Pakistan,India,drawn,,Karachi,"Nov 15-20, 1989",Test # 1127,Test 
India,Pakistan,Pakistan,16 runs,Bengaluru,"Mar 13-17, 1987",Test # 1073,Test 
India,Pakistan,drawn,,Ahmedabad,"Mar 4-9, 1987",Test # 1071,Test 
India,Pakistan,drawn,,Jaipur,"Feb 21-26, 1987",Test # 1069,Test 
India,Pakistan,drawn,,Eden Gardens,"Feb 11-16, 1987",Test # 1067,Test 
India,Pakistan,drawn,,Chennai,"Feb 3-8, 1987",Test # 1066,Test 
Pakistan,India,drawn,,Faisalabad,"Oct 24-29, 1984",Test # 996,Test 
Pakistan,India,drawn,,Lahore,"Oct 17-22, 1984",Test # 995,Test 
India,Pakistan,drawn,,Nagpur,"Oct 5-10, 1983",Test # 963,Test 
India,Pakistan,drawn,,Jalandhar,"Sep 24-29, 1983",Test # 962,Test 
India,Pakistan,drawn,,Bengaluru,"Sep 14-19, 1983",Test # 961,Test 
Pakistan,India,drawn,,Karachi,"Jan 30-Feb 4, 1983",Test # 948,Test 
Pakistan,India,drawn,,Lahore,"Jan 23-28, 1983",Test # 947,Test 
Pakistan,India,Pakistan,inns & 119 runs,Hyderabad (Sind),"Jan 14-19, 1983",Test # 946,Test 
Pakistan,India,Pakistan,10 wickets,Faisalabad,"Jan 3-8, 1983",Test # 945,Test 
Pakistan,India,Pakistan,inns & 86 runs,Karachi,"Dec 23-27, 1982",Test # 942,Test 
Pakistan,India,drawn,,Lahore,"Dec 10-15, 1982",Test # 941,Test 
India,Pakistan,drawn,,Eden Gardens,"Jan 29-Feb 3, 1980",Test # 871,Test 
India,Pakistan,India,10 wickets,Chennai,"Jan 15-20, 1980",Test # 869,Test 
India,Pakistan,drawn,,Kanpur,"Dec 25-30, 1979",Test # 866,Test 
India,Pakistan,India,131 runs,Wankhede,"Dec 16-20, 1979",Test # 865,Test 
India,Pakistan,drawn,,Delhi,"Dec 4-9, 1979",Test # 863,Test 
India,Pakistan,drawn,,Bengaluru,"Nov 21-26, 1979",Test # 861,Test 
Pakistan,India,Pakistan,8 wickets,Karachi,"Nov 14-19, 1978",Test # 833,Test 
Pakistan,India,Pakistan,8 wickets,Lahore,"Oct 27-Nov 1, 1978",Test # 832,Test 
Pakistan,India,drawn,,Faisalabad,"Oct 16-21, 1978",Test # 831,Test 
India,Pakistan,drawn,,Delhi,"Feb 8-13, 1961",Test # 505,Test 
India,Pakistan,drawn,,Chennai,"Jan 13-18, 1961",Test # 503,Test 
